id,name,latitude,longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,
1,"New York, New York",40.7128,-74.006,0.649397347,0.617953842,0.678975494,0.762974103,0.804026083,0.890022024,0.868126954,0.906680883,0.937726346,0.942853849,,,,,,,,,,
2,"Los Angeles, California",34.0522,-118.2437,0.875850215,0.906127286,0.819302649,0.915184425,0.87963864,1.045405335,1.106522818,1.319034113,1.255909348,1.413643061,,,,,,,,,,
3,"Chicago, Illinois",41.8781,-87.6298,0.231327274,0.245004457,0.246769108,0.23025016,0.230540808,0.249087487,0.216768511,0.208663077,0.201745524,0.196364036,,,,,,,,,,
4,"Houston, Texas",29.7604,-95.3698,0.303197669,0.398441792,0.332486273,0.28912549,0.236771275,0.201538497,0.174536618,0.155605913,0.178687494,0.169721774,,,,,,,,,,
5,"Phoenix, Arizona",33.4484,-112.074,0.483010107,0.396721722,0.432542684,0.385786749,0.380469898,0.35556201,0.353678423,0.343115649,0.38061855,0.393458149,,,,,,,,,,
6,"Philadelphia, Pennsylvania",39.9526,-75.1652,0.398093809,0.401177306,0.372464919,0.362250716,0.366537631,0.381779239,0.387804709,0.360179451,0.365498184,0.362043453,,,,,,,,,,
7,"San Antonio, Texas",29.4241,-98.4936,0.247016623,0.237414525,0.265350758,0.211596782,0.20146908,0.197466878,0.186914883,0.181516907,0.200390061,0.185619288,,,,,,,,,,
8,"San Diego, California",32.7157,-117.1611,0.641929817,0.715069506,0.749040976,0.655122038,0.618244537,0.630134439,0.618291706,0.648440027,0.603129437,0.569020213,,,,,,,,,,
9,"Dallas, Texas",32.7767,-96.797,0.309076519,0.290573119,0.277510536,0.251264066,0.274724845,0.241368632,0.287782609,0.282239052,0.3071243,0.337756117,,,,,,,,,,
10,"San Jose, California",37.3382,-121.8863,0.742036149,0.728279654,0.717110815,0.762125242,0.746051605,0.638998811,0.633249275,0.716240368,0.705628295,0.949896995,,,,,,,,,,
11,"Austin, Texas",30.2672,-97.7431,0.258880327,0.285107652,0.262615245,0.238856324,0.220491139,0.198889605,0.227580694,0.213966011,0.22307212,0.230358726,,,,,,,,,,
12,"Jacksonville, Florida",30.3322,-81.6557,0.393748618,0.364629603,0.341810701,0.328454378,0.240353598,0.214012815,0.22248217,0.209523276,0.198795041,0.18145774,,,,,,,,,,
13,"Fort Worth, Texas",32.7555,-97.3308,0.291405735,0.283847767,0.271814976,0.300223723,0.297525204,0.229123871,0.226355064,0.221877004,0.225589331,0.222958822,,,,,,,,,,
14,"Columbus, Ohio",39.9612,-82.9988,0.175360298,0.177115614,0.17644019,0.179754215,0.191760933,0.201298322,0.198870912,0.191789895,0.202835658,0.212230108,,,,,,,,,,
15,"Charlotte, North Carolina",35.2271,-80.8431,0.384727887,0.377171518,0.331969418,0.305284914,0.249442655,0.242349225,0.215628436,0.171627508,0.191171718,0.196678815,,,,,,,,,,
16,"San Francisco, California",37.7749,-122.4194,0.722900541,0.695028505,0.711204088,0.834711019,0.753217749,0.785043047,0.802742819,0.781057811,0.778588753,0.911463798,,,,,,,,,,
17,"Indianapolis, Indiana",39.7684,-86.1581,0.18184496,0.191744476,0.197127705,0.189298872,0.222310048,0.195147321,0.18846422,0.206490495,0.193120235,0.178802899,,,,,,,,,,
18,"Seattle, Washington",47.6062,-122.3321,1.477490461,1.440836109,1.399372256,1.393232434,1.335454381,1.472535082,1.512053447,1.59786238,1.631828195,1.485918997,,,,,,,,,,
19,"Denver, Colorado",39.7392,-104.9903,1.450546026,0.774982676,1.001002892,0.972603562,0.996265322,0.780786934,0.822800538,0.781036114,0.742323023,0.791379668,,,,,,,,,,
20,"Washington, D.C.",38.9072,-77.0369,1.08042285,1.056147144,1.095249195,1.05521065,1.169813144,1.080544862,1.217529509,1.075397248,0.984110829,0.923982889,,,,,,,,,,
